category,name,price
CHINEES,Baby corn manchurian,150
CHINEES,Baby corn pepper,160
CHINEES,Babycorn chilly,160
CHINEES,Boiled rice,40
CHINEES,CH Fried Rice-H,60
CHINEES,Ch Fried Rice-F,110
CHINEES,Ch Noodles-F,110
CHINEES,Ch Noodles-H,60
CHINEES,Chicken 65,200
CHINEES,Chicken clear soup,90
CHINEES,Chicken fried rice H,60
CHINEES,Chicken lollipop,240
CHINEES,Chicken manchurian F,190
CHINEES,Chicken manchurian H,100
CHINEES,Chilly chicken -F,210
CHINEES,Dragon chicken,220
CHINEES,Egg Fried Rice-F,110
CHINEES,Egg Fried Rice-H,60
CHINEES,Egg Noodles-F,110
CHINEES,Egg noodles-H,60
CHINEES,Extra egg,10
CHINEES,Garlic chicken F,200
CHINEES,Garlic chicken H,110
CHINEES,Ginger Chicken H,110
CHINEES,Ginger chicken F,200
CHINEES,Gobi Pepper-F,130
CHINEES,Gobi Pepper-H,70
CHINEES,Gobi Rice F,150
CHINEES,Gobi Rice H,80
CHINEES,Gobi manchurian H,70
CHINEES,Gobi manchurian-F,120
CHINEES,Kabab (1PC),30
CHINEES,Kabab Full (8),240
CHINEES,Lemon chicken,210
CHINEES,Manchow soup Ch- H,60
CHINEES,Mashroom Chiily,160
CHINEES,Mashroom Manchurian,150
CHINEES,Mashroom fried Rice H,70
CHINEES,Mashroom pepper,160
CHINEES,Omlet,40
CHINEES,Paneer Chilly,170
CHINEES,Paneer manchurian,170
CHINEES,Paneer pepper,180
CHINEES,Paneer rice,140
CHINEES,Paneer rice H,80
CHINEES,Paneer schezwan rice H,90
CHINEES,Paneer schezwan rice-F,150
CHINEES,Pepper chicken- F,200
CHINEES,Pepper chicken-H,100
CHINEES,Schezwan Fried Rice-F,120
CHINEES,Schezwan Fried Rice-H,70
CHINEES,Schezwan Noodles-F,130
CHINEES,Schezwan Noodles-H,80
CHINEES,Schezwan chicken dry,210
CHINEES,Tripple Rice F,180
CHINEES,Tripple Rice H,110
CHINEES,Veg manchow soup,90
CHINEES,Veg noodles -H,50
CHINEES,Veg rice full,90
CHINEES,Veg rice half,50
CHINEES,Veg rice-F,100
CHINEES,chicken cream soup,100
CHINEES,chilly chicken-H,110
CHINEES,gobi noodles F,150
